gameId,name,polled,main,side,complete,fastest,slowest
216,Emulated,3,2:23:0,0:0:0,0:0:0,1:50:0,3:2:0
216,NES,17,2:7:0,1:30:0,3:37:0,0:58:0,6:0:0
217,Wii,1,2:3:0,0:0:0,0:0:0,2:3:0,2:3:0
219,Nintendo 3DS,61,4:56:0,5:13:0,6:6:0,2:50:0,10:0:0
219,Nintendo DS,22,4:48:0,5:25:0,6:47:0,2:55:0,10:0:0
220,NES,27,1:1:0,0:37:0,1:20:0,0:17:0,3:0:0
223,Emulated,4,3:45:0,0:0:0,5:0:0,2:32:0,5:0:0
223,NES,51,3:36:0,5:0:0,7:56:0,1:8:0,19:50:0
223,Nintendo 3DS,2,0:0:0,0:0:0,5:42:0,5:19:0,6:5:0
223,Nintendo Switch,21,3:39:0,7:0:0,5:41:0,1:26:0,11:0:0
223,Wii U,4,4:46:0,0:0:0,6:13:0,3:20:0,8:46:0
222,NES,7,1:6:0,1:4:0,0:58:0,0:29:0,1:30:0
224,Emulated,1,0:0:0,0:0:0,8:0:0,8:0:0,8:0:0
224,NES,17,6:22:0,6:13:0,9:4:0,1:49:0,15:19:0
224,Nintendo 3DS,1,0:0:0,0:0:0,8:54:0,8:54:0,8:54:0
224,Wii,1,0:0:0,0:0:0,10:5:0,10:5:0,10:5:0
225,NES,7,8:56:0,0:0:0,19:39:0,4:17:0,35:0:0
231,PlayStation Portable,1,0:0:0,25:0:0,0:0:0,25:0:0,25:0:0
232,Xbox 360,28,2:34:0,3:35:0,8:51:0,2:0:0,18:21:0
232,Xbox One,1,0:0:0,0:0:0,6:0:0,6:0:0,6:0:0
233,Mobile,1,0:0:0,9:28:0,0:0:0,9:28:0,9:28:0
234,PC,11,2:27:0,5:29:0,11:19:0,1:18:0,16:0:0
235,PlayStation 2,3,8:45:0,15:26:0,0:0:0,6:27:0,15:26:0
235,Xbox,1,9:20:0,0:0:0,0:0:0,9:20:0,9:20:0
236,Arcade,22,0:42:0,0:36:0,0:56:0,0:16:0,2:0:0
236,Emulated,6,1:12:0,0:55:0,1:9:0,0:46:0,1:35:0
236,Super Nintendo,26,0:57:0,2:5:0,1:34:0,0:16:0,4:0:0
237,Arcade,12,0:55:0,0:0:0,0:46:0,0:18:0,3:0:0
237,Emulated,4,1:22:0,0:49:0,1:15:0,0:44:0,2:0:0
237,Neo Geo,8,0:37:0,1:0:0,1:2:0,0:26:0,1:15:0
237,Nintendo Switch,6,0:46:0,1:30:0,0:0:0,0:39:0,1:30:0
237,Super Nintendo,1,0:0:0,1:30:0,0:0:0,1:30:0,1:30:0
